PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
129.8;130;65;6/3;65;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
129.9;130;65;6/3;65;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130;130;65;6/3;65;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130.1;130;65;6/3;65;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130.2;130;65;6/3;65;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
139.5;139.7;65;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
139.6;139.7;65;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
139.7;139.7;65;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
139.8;139.7;65;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
139.9;139.7;65;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
144.8;145;65;10/3;65;16/3;65;25/3;65;40/3;65;1000/3;65;1600/3;65;2500/3;65;4000/3;-;-;-;-
144.9;145;65;10/3;65;16/3;65;25/3;65;40/3;65;1000/3;65;1600/3;65;2500/3;65;4000/3;-;-;-;-
145;145;65;10/3;65;16/3;65;25/3;65;40/3;65;1000/3;65;1600/3;65;2500/3;65;4000/3;-;-;-;-
145.1;145;65;10/3;65;16/3;65;25/3;65;40/3;65;1000/3;65;1600/3;65;2500/3;65;4000/3;-;-;-;-
145.2;145;65;10/3;65;16/3;65;25/3;65;40/3;65;1000/3;65;1600/3;65;2500/3;65;4000/3;-;-;-;-
145.8;146;65;F/3;80;D/3;80;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
145.9;146;65;F/3;80;D/3;80;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
146;146;65;F/3;80;D/3;80;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
146.1;146;65;F/3;80;D/3;80;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
146.2;146;65;F/3;80;D/3;80;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
